City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
369,Willmar,US,45.1219,-95.0433,49.95,71,1,14.97,clear sky
370,Palmerston north,NZ,-40.35,175.6167,52.7,93,12,1.77,few clouds
371,Kuloy,RU,61.0305,42.4925,29.68,91,100,11.68,light snow
372,Brownwood,US,31.7093,-98.9912,72.28,78,90,18.41,overcast clouds
373,Labytnangi,RU,66.6572,66.4183,2.73,90,17,5.48,few clouds
374,Obo,CF,5.3998,26.4869,74.05,79,90,5.41,light rain
375,Cherskiy,RU,68.75,161.3,-13.58,100,97,6.31,overcast clouds
376,Pathein,MM,16.7833,94.7333,76.37,91,77,3.09,light rain
377,Shibetsu,JP,43.659,145.132,47.84,94,81,8.14,broken clouds
378,Moindou,NC,-21.6924,165.677,69.75,82,31,2.93,scattered clouds
379,Port hardy,CA,50.6996,-127.4199,42.8,100,75,5.75,broken clouds
380,Requena,ES,39.4883,-1.1004,56.98,56,80,2.3,broken clouds
381,Antsohihy,MG,-14.8796,47.9875,81.43,77,38,7.92,moderate rain
382,Mahanoro,MG,-19.9,48.8,75.88,92,10,7.11,clear sky
383,Chumikan,RU,54.7183,135.315,24.62,95,100,6.31,snow
384,Luan,CH,46.3592,6.9759,49.01,77,99,1.01,overcast clouds
385,Tandil,AR,-37.3217,-59.1332,74.68,36,7,9.35,clear sky
386,Talnakh,RU,69.4865,88.3972,-8.57,95,55,2.71,broken clouds
387,Ixtapa,MX,20.7,-105.2,82.22,57,75,0.0,broken clouds
388,Narbonne,FR,43.0833,2.8333,53.56,82,100,6.13,light rain
389,Rota,ES,36.6224,-6.3586,66.58,82,20,6.91,few clouds
390,Lima,PE,-12.0432,-77.0282,65.14,77,90,4.61,overcast clouds
391,Poum,NC,-20.2333,164.0167,77.05,83,17,10.78,few clouds
392,Paris,FR,48.8534,2.3488,45.37,86,40,3.44,mist
393,Emerald,AU,-23.5333,148.1667,75.34,100,40,5.75,scattered clouds
394,Uchiza,PE,-8.4592,-76.4633,81.19,79,97,2.13,moderate rain
395,Segou,ML,13.4317,-6.2157,96.71,14,5,9.53,clear sky
396,Ngorongoro,TZ,-3.2397,35.4875,59.88,57,94,3.36,overcast clouds
397,Novyy urengoy,RU,66.0833,76.6333,-3.21,98,11,7.25,few clouds
398,Nemuro,JP,43.3236,145.575,50.77,91,81,16.11,broken clouds
399,Hami,CN,42.8,93.45,27.73,57,0,3.98,clear sky
400,Flinders,AU,-34.5833,150.8552,65.17,93,100,5.99,overcast clouds
401,Poso,ID,-1.3959,120.7524,77.79,86,99,3.65,light rain
402,Anadyr,RU,64.75,177.4833,21.7,86,75,13.42,broken clouds
403,Atambua,ID,-9.1061,124.8925,77.18,86,93,1.36,overcast clouds
404,Atar,MR,20.5169,-13.0499,86.16,14,100,11.14,overcast clouds
405,Pundaguitan,PH,6.3711,126.1689,80.87,80,100,9.91,moderate rain
406,Marsh harbour,BS,26.5412,-77.0636,77.68,59,0,15.93,clear sky
407,Xai-xai,MZ,-25.0519,33.6442,70.66,77,100,7.72,overcast clouds
408,Linxia,CN,35.6003,103.2064,30.45,42,77,4.99,broken clouds
409,Okhotsk,RU,59.3833,143.3,23.2,96,100,11.79,snow
410,Tocopilla,CL,-22.092,-70.1979,68.34,65,37,8.86,scattered clouds
411,Sheffield lake,US,41.4875,-82.1015,59.99,62,1,5.99,clear sky
412,Puerto quijarro,BO,-17.7833,-57.7667,93.15,44,99,4.12,overcast clouds
413,Mongo,TD,12.1844,18.693,88.97,17,1,5.01,clear sky
414,Sinnamary,GF,5.3833,-52.95,81.79,75,71,6.06,light rain
415,Killybegs,IE,54.6333,-8.45,49.71,74,100,12.55,overcast clouds
416,Monterey,US,36.2505,-121.2516,55.6,70,3,6.02,clear sky
417,Mareeba,AU,-17.0,145.4333,72.45,96,72,3.2,broken clouds
418,Wattegama,LK,6.7989,81.4808,74.68,93,98,1.74,overcast clouds
419,Chapais,CA,49.7834,-74.8492,33.58,78,73,9.91,broken clouds
420,Agirish,RU,61.9247,63.0231,9.57,97,16,2.95,few clouds
421,Odweyne,SO,9.4092,45.064,71.67,42,24,14.83,few clouds
422,Maniwaki,CA,46.3834,-75.966,48.58,53,0,8.05,clear sky
423,Saint-francois,FR,46.4154,3.9054,42.67,87,0,2.3,clear sky
