City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,dakar,SN,2021-11-08 18:33:43,14.6937,-17.4441,83.28,69,0,11.5
211,sitka,US,2021-11-08 18:33:44,57.0531,-135.33,42.69,61,20,13.8
212,maceio,BR,2021-11-08 18:32:47,-9.6658,-35.7353,89.04,66,40,17.27
213,baherden,TM,2021-11-08 18:33:44,38.4362,57.4316,48.96,41,0,6.13
214,urengoy,RU,2021-11-08 18:33:44,65.9667,78.3667,7.02,91,71,6.24
215,north bend,US,2021-11-08 18:33:45,43.4065,-124.2243,49.15,90,1,9.22
216,hadejia,NG,2021-11-08 18:33:45,12.4498,10.0444,86.49,17,86,6.02
217,kruisfontein,ZA,2021-11-08 18:33:45,-34.0033,24.7314,54.88,81,100,9.73
218,casablanca,MA,2021-11-08 18:32:41,33.5928,-7.6192,62.82,63,0,1.99
219,prince rupert,CA,2021-11-08 18:30:58,54.3161,-130.3201,42.49,66,100,19.57
220,mporokoso,ZM,2021-11-08 18:33:45,-9.3727,30.125,71.56,38,74,3.18
221,golden,US,2021-11-08 18:33:46,39.7555,-105.2211,69.1,58,75,6.91
222,gazanjyk,TM,2021-11-08 18:33:46,39.2446,55.5154,48.24,47,5,5.44
223,ahipara,NZ,2021-11-08 18:33:46,-35.1667,173.1667,60.03,87,4,1.9
224,cabo rojo,PR,2021-11-08 18:33:46,18.0866,-67.1457,86.9,69,12,4.0
225,mahebourg,MU,2021-11-08 18:34:47,-20.4081,57.7,77.29,83,75,8.05
226,stephenville,US,2021-11-08 18:30:58,32.2207,-98.2023,73.49,57,1,10.36
227,yumen,CN,2021-11-08 18:34:47,40.2833,97.2,16.14,56,5,6.35
228,sibolga,ID,2021-11-08 18:34:47,1.7427,98.7792,74.01,88,98,2.98
229,bengkulu,ID,2021-11-08 18:34:48,-3.8004,102.2655,76.82,91,100,8.81
230,lebu,CL,2021-11-08 18:34:48,-37.6167,-73.65,58.53,79,2,15.41
231,kearney,US,2021-11-08 18:34:14,40.6995,-99.0815,56.32,65,90,10.0
232,butterworth,MY,2021-11-08 18:34:48,5.3991,100.3638,78.84,94,40,3.0
233,alekseyevsk,RU,2021-11-08 18:34:49,57.8406,108.3492,32.58,86,100,14.03
234,dogondoutchi,NE,2021-11-08 18:34:49,13.6393,4.0287,90.68,10,3,7.49
235,boa vista,BR,2021-11-08 18:34:41,2.8197,-60.6733,91.38,46,40,16.11
236,vaini,TO,2021-11-08 18:34:49,-21.2,-175.2,77.16,88,75,5.75
237,palasa,IN,2021-11-08 18:34:50,18.7667,84.4167,69.71,65,49,3.83
238,valley city,US,2021-11-08 18:34:50,46.9233,-98.0032,49.19,46,1,10.36
239,tuatapere,NZ,2021-11-08 18:34:50,-46.1333,167.6833,58.82,75,98,5.35
240,orumiyeh,IR,2021-11-08 18:34:50,37.5527,45.0761,35.15,69,0,4.61
241,bathsheba,BB,2021-11-08 18:34:51,13.2167,-59.5167,88.41,62,20,13.8
242,shenzhen,CN,2021-11-08 18:34:37,22.5455,114.0683,66.15,52,29,10.49
243,kabanjahe,ID,2021-11-08 18:34:51,3.1001,98.4908,63.36,97,100,5.12
244,bambari,CF,2021-11-08 18:34:51,5.768,20.6757,72.19,90,44,0.98
245,rena,NO,2021-11-08 18:34:52,61.1348,11.3641,31.82,94,100,4.29
246,olafsvik,IS,2021-11-08 18:34:52,64.8945,-23.7142,39.79,96,100,20.62
247,atakpame,TG,2021-11-08 18:34:52,7.5333,1.1333,80.46,64,36,6.69
248,bow island,CA,2021-11-08 18:30:02,49.8668,-111.3684,47.46,47,100,11.5
249,vuktyl,RU,2021-11-08 18:34:52,63.8567,57.3094,20.98,92,100,4.38
250,fussa,JP,2021-11-08 18:34:53,35.7367,139.3236,61.61,91,40,6.91
251,hokitika,NZ,2021-11-08 18:34:53,-42.7167,170.9667,55.6,82,100,2.48
252,luanda,AO,2021-11-08 18:31:53,-8.8368,13.2343,76.41,82,96,9.33
253,saint anthony,US,2021-11-08 18:34:53,45.0205,-93.218,57.54,47,90,3.0
254,constitucion,CL,2021-11-08 18:34:53,-35.3333,-72.4167,65.17,66,48,19.42
255,swan river,CA,2021-11-08 18:30:19,52.1058,-101.2676,40.89,48,100,11.5
256,arica,CL,2021-11-08 18:34:54,-18.475,-70.3042,74.75,56,0,14.97
257,kuching,MY,2021-11-08 18:34:54,1.55,110.3333,75.42,94,40,3.44
258,port lincoln,AU,2021-11-08 18:30:58,-34.7333,135.8667,54.39,75,100,5.1
259,erdemli,TR,2021-11-08 18:34:54,36.605,34.3084,71.92,36,100,4.0
260,piranhas,BR,2021-11-08 18:34:55,-16.4269,-51.8222,89.74,48,99,3.98
261,dikson,RU,2021-11-08 18:33:07,73.5069,80.5464,8.02,95,100,0.67
262,carmelo,UY,2021-11-08 18:34:55,-33.9892,-58.2856,85.19,34,0,5.88
263,cidreira,BR,2021-11-08 18:34:55,-30.1811,-50.2056,67.93,63,12,9.4
264,thinadhoo,MV,2021-11-08 18:34:55,0.5333,72.9333,83.01,69,75,16.67
265,port hedland,AU,2021-11-08 18:34:56,-20.3167,118.5667,73.45,78,12,14.97
266,korostyshiv,UA,2021-11-08 18:34:56,50.3172,29.0563,46.33,61,100,9.01
267,huadian,CN,2021-11-08 18:34:56,42.9633,126.7478,27.05,75,100,14.03
268,mafinga,TZ,2021-11-08 18:35:57,-7.25,35.0667,78.69,26,33,8.99
269,naron,ES,2021-11-08 18:35:57,43.5167,-8.1528,61.03,93,39,7.52
270,tecoanapa,MX,2021-11-08 18:35:57,16.5167,-98.75,84.0,68,19,7.43
271,zeya,RU,2021-11-08 18:35:57,53.75,127.2667,12.76,84,5,4.36
272,pascagoula,US,2021-11-08 18:32:04,30.3658,-88.5561,76.41,36,1,4.61
273,quelimane,MZ,2021-11-08 18:35:58,-17.8786,36.8883,80.55,78,0,14.97
274,qaanaaq,GL,2021-11-08 18:35:58,77.484,-69.3632,2.08,57,0,8.7
275,durban,ZA,2021-11-08 18:32:49,-29.8579,31.0292,69.93,95,100,1.01
276,sao paulo de olivenca,BR,2021-11-08 18:35:58,-3.3783,-68.8725,90.16,53,85,2.17
277,arapongas,BR,2021-11-08 18:35:58,-23.4194,-51.4244,75.7,67,100,5.1
278,tiksi,RU,2021-11-08 18:35:59,71.6872,128.8694,16.86,80,100,16.73
279,manta,EC,2021-11-08 18:35:59,-0.95,-80.7333,76.78,73,75,10.36
280,buala,SB,2021-11-08 18:35:59,-8.145,159.5921,80.47,80,7,8.5
281,ostrovnoy,RU,2021-11-08 18:36:00,68.0531,39.5131,29.41,67,100,19.6
282,russell,US,2021-11-08 18:36:00,32.3502,-85.1999,72.91,28,1,0.0
283,plettenberg bay,ZA,2021-11-08 18:36:00,-34.0527,23.3716,56.55,85,99,7.27
284,nioki,CD,2021-11-08 18:36:00,-2.7167,17.6833,77.25,77,100,0.27
285,codrington,AU,2021-11-08 18:36:01,-38.2667,141.9667,43.45,93,45,6.73
286,rio gallegos,AR,2021-11-08 18:34:25,-51.6226,-69.2181,64.45,19,40,12.66
287,ipixuna,BR,2021-11-08 18:36:01,-1.7625,-48.8043,85.95,60,86,0.92
288,asau,RO,2021-11-08 18:36:02,46.4333,26.4,47.75,83,100,3.87
289,yafran,LY,2021-11-08 18:36:02,32.0633,12.5286,65.41,60,96,6.8
290,edelira,PY,2021-11-08 18:36:03,-26.75,-55.2667,90.34,28,80,3.18
291,vangaindrano,MG,2021-11-08 18:36:03,-23.35,47.6,72.91,93,100,7.43
292,te anau,NZ,2021-11-08 18:36:03,-45.4167,167.7167,50.52,89,100,1.43
293,harper,LR,2021-11-08 18:36:04,4.375,-7.7169,79.56,82,21,5.32
294,ola,RU,2021-11-08 18:36:04,59.5833,151.2833,8.29,74,0,7.34
295,sao joao da barra,BR,2021-11-08 18:34:55,-21.6403,-41.0511,78.89,73,58,10.69
296,kodinsk,RU,2021-11-08 18:32:09,58.6881,99.1844,32.31,73,97,13.91
297,sorland,NO,2021-11-08 18:36:04,67.667,12.6934,39.06,63,100,13.51
298,rawson,AR,2021-11-08 18:36:05,-43.3002,-65.1023,59.13,64,39,17.54
299,santiago del estero,AR,2021-11-08 18:35:57,-27.7951,-64.2615,83.8,43,23,6.76
